ASV_ID	P17302_1001	P17302_1002	P17302_1003	P17302_1004	P17302_1005	P17302_1006	P17302_1007	P17302_1008	P17302_1009	P17302_1010	P17302_1011	P17302_1012	P17302_1013	P17302_1014	P17302_1015	P17302_1016	P17302_1017	P17302_1018	P17302_1019	P17302_1020	P17302_1021	P17302_1022	P17302_1023	P17302_1024	P17302_1025	P17302_1026	P17302_1027	P17302_1028	P17302_1029	P17302_1030	P17302_1031	P17302_1032	P17302_1033	P17302_1034	P17302_1035	P17302_1036	P17302_1037	P17302_1038	P17302_1039	P17302_1040	P17302_1041	P17302_1042	P17302_1043	P17302_1044	P17302_1045	P17302_1046	P17302_1047	P17302_1048	P17302_1049	P17302_1050	P17302_1051	P17302_1052	P17302_1053	P17302_1054	P17302_1055	P17302_1056	P17302_1057	P17302_1058	P17302_1059	P17302_1060	P17302_1061	P17302_1062	P17302_1063	P17302_1064	P17302_1065	P17302_1066	P17302_1067	P17302_1068	P17302_1069	P17302_1070	P17302_1071	P17302_1072	P17302_1073	P17302_1074	P17302_1075	P17302_1076	P17302_1077	P17302_1078	P17302_1079	P17302_1080	P17302_1081	P17302_1082	P17302_1083	P17302_1084	P17302_1085	P17302_1086
1ead98754d34073a4606f7ff1e94126e	3232	1327	13595	17547	1144	39145	1137	770	1625	2490	2540	8014	226	3692	20674	702	447	321	957	10634	10406	7269	3006	2157	463	11322	11006	5135	9516	2291	103096	389	16598	2753	55095	171	17127	21465	27497	27539	7631	8692	8258	360	1012	8424	6503	2696	4135	2998	2716	216	137	7721	623	72	239	51	1072	296	1052	15005	46547	24435	1207	1736	11081	1670	6038	6113	401	14848	2627	13636	2474	2806	14845	5266	2366	20114	6159	3189	11272	11801	6782	42668
40b37890b1b1fcdf0ece91f1da34c1ca	202	155	632	665	57	720	170	73	474	507	495	5522	209	1094	1446	311	45	130	400	2598	7088	913	906	1580	272	5876	4823	5052	8935	1084	26137	102	3362	2392	39062	105	6028	10764	5505	20114	3490	2590	1666	216	921	4751	4260	2464	999	2438	2141	129	54	3403	812	67	193	20	783	114	497	3130	24614	12306	918	1045	6438	1228	4037	3520	214	2480	993	1996	2041	1102	3825	1638	3914	2193	4244	1320	4763	4460	2904	4155
cac37e39df2461953f24398212940edf	7776	3018	5357	2174	21716	1813	2485	1767	240	208	2339	3234	1524	988	2083	372	25	153	75	680	846	1347	323	740	53	1649	1156	519	425	317	8497	3614	723	102	1012	18	1301	4901	1276	2867	1417	2088	525	64	683	494	132	292	311	101	296	172	13	10622	68	189	578	417	1119	2351	9415	3323	936	1752	208	3355	7901	3660	3846	3539	56	34811	10795	24970	13947	2230	1589	9728	460	2343	1453	12866	4623	1060	4059	2812
887bc7033b46d960e893caceb711700b	86	422	696	738	189	277	178	48	988	1453	1094	7598	294	849	1406	141	263	52	30	8165	355	410	129	3658	244	13943	694	6403	542	2123	5159	306	184	139	1947	61	2376	42129	11963	7102	1557	3472	11427	191	1353	5147	1324	894	1522	2022	1468	77	66	2385	262	103	261	8	325	63	374	117	4963	3305	225	267	1172	1579	4457	1070	225	423	666	323	170	1192	5255	1912	1384	361	27415	673	1231	15679	375	41
7ff490fff9504446139943d9c4f1be4a	865	1115	1717	2809	1551	609	463	404	1590	708	975	2128	4677	1538	1248	405	33	43	33	917	838	2896	524	1436	450	2701	1496	1100	854	159	18936	4813	136	27	358	0	1035	6227	1414	1252	20728	6571	3224	140	362	903	392	845	242	215	226	633	15	3464	93	95	684	65	1225	964	3689	1039	745	9562	1509	4231	6464	1578	14502	13428	54	9405	3372	7299	4190	25352	842	3422	165	354	2570	3291	1234	248	972	116
ac4107604c179f2f8414333885255725	843	98	321	119	40	837	280	313	117	16	574	1458	59	55	1949	117	7	104	9578	652	19024	13434	9444	316	79	711	2078	2838	1863	352	17320	7	3654	135	644	2	76	152	60	166	800	58	17	11	95	151	75	136	9	24	352	22	5	13814	5626	441	156	158	333	359	1352	3127	178	1684	129	436	1031	4395	1813	610	16	1892	1518	151	593	265	52	2230	5717	23312	60	3352	3638	649	15106	32485
450ac381cbb4a6822befbcdb2ca20bae	1927	1141	1987	198	110	2731	847	485	84	42	900	3097	86	1425	945	435	17	121	76	416	1118	285	152	530	70	320	228	291	542	289	4191	112	508	13	42	0	797	585	125	170	608	378	19	19	182	168	71	91	26	18	232	75	15	12989	63	619	2979	302	330	3533	13381	232	330	1993	561	759	4857	9414	6098	4499	27	796	13265	419	2772	561	266	16732	3029	1228	878	15342	3667	208	16176	3230
88b5b5240649749ca876d10823045b01	130	74	178	243	85	131	74	57	917	423	597	1628	97	245	2022	88	38	94	87	1177	2032	1107	630	521	94	3645	1079	593	941	346	29703	150	239	373	5077	76	2239	7590	19997	14241	477	2108	5419	79	573	2137	1753	893	3604	623	580	53	100	1410	225	20	23	10	60	27	157	405	3308	2099	324	192	619	344	1314	366	191	793	445	737	110	283	12923	1837	159	1921	2228	577	4321	2766	154	13
1b2c41577c16f4c672a2a861e6b89b14	386	384	928	736	260	774	96	112	2964	1049	496	5094	312	527	2009	156	106	196	63	1712	3274	670	256	229	282	2596	1723	847	2862	2214	20822	87	1746	420	3212	139	2446	5147	2245	22133	444	4825	954	887	2170	2617	552	529	499	320	1717	88	29	1926	612	156	123	32	45	156	436	1724	3156	1657	91	71	544	1663	2684	280	50	631	641	141	96	58	1861	1878	969	2423	10506	1140	2848	7503	349	605
aaf363d33b413559f355276afbb79f37	2169	1653	4977	2100	2755	6255	485	499	163	81	668	2547	348	2830	2715	688	25	136	35	213	934	629	170	922	64	476	318	563	444	210	3518	1843	295	23	119	7	358	1102	26	315	2139	663	50	25	204	123	36	123	20	34	154	357	0	6623	54	173	921	223	574	3412	11651	1145	311	4077	186	878	3393	3707	4210	3959	31	2672	9445	462	5445	4241	208	11994	301	4451	597	12538	2106	164	2983	1384
95efad17b5fb6b91274a6ef3c47a098a	141	0	135	213	0	455	0	0	393	578	130	1071	87	203	1206	80	0	104	408	1032	8164	1064	1191	375	104	1663	5307	1584	5243	406	49699	0	3639	87	6961	0	2836	1943	2380	2297	989	1220	975	60	114	906	973	404	487	721	410	0	0	1340	394	0	0	0	105	47	194	5158	5976	2725	240	258	1529	243	675	1116	66	1373	352	1341	1216	343	1431	1022	259	2160	628	208	5127	1854	667	4627
